Feature,MI_Score
entropy,0.11503191150855274
component_17,0.11053484760495724
component_14,0.1103954561886602
component_1,0.10998386257443671
component_19,0.10882581765954469
component_15,0.10860016354933566
component_35,0.10858379048288369
component_34,0.10833604081588266
component_27,0.10832628536650724
component_36,0.1079536460337418
component_6,0.10784468488623111
component_7,0.10781072326513041
component_32,0.10765142594485178
component_3,0.10729298538634091
component_20,0.10723313940674872
component_23,0.10715633617555853
component_21,0.10704102757072054
component_33,0.10693445138307767
component_31,0.10685179564055658
component_8,0.10678188628547414
character_count,0.10664333928024661
component_4,0.10648511923218962
component_25,0.10619259050824481
component_5,0.10618043324220983
component_39,0.10612908508985885
component_26,0.10595927697367169
component_2,0.1059089626439591
component_10,0.1058593221498092
component_13,0.1058521528859051
component_12,0.10581804569253994
component_18,0.10579405551844623
component_9,0.10573223163420598
component_24,0.10572553254905115
component_29,0.10544258227150505
component_11,0.10504445066571311
component_37,0.10476680215733358
component_40,0.10469077266964488
component_28,0.10444723257680821
component_30,0.10419808039048006
component_22,0.10362452071223127
component_38,0.1031733294886974
component_16,0.10288922016780866
word_count,0.10187809918754387
sentiment,0.06958325752789918
Dominant_Topic,0.05345712942844161
hour,0.029165160860234796
day,0.028529011831077034
second,0.0235996084140071
month,0.023381390290162285
year,0.020920487637822616
minute,0.018788399523417043
