Feature,MI_Score
entropy,0.34237365776336814
component_36,0.33800735082157896
component_12,0.3349603011796387
component_19,0.333364664736274
component_38,0.3333438802632831
component_40,0.3324583573178497
component_21,0.33160747498830767
component_1,0.33033425926358484
component_26,0.32996731911639876
component_13,0.3284180114539035
component_39,0.32779753732723105
component_23,0.32725977653400296
component_9,0.3271005839108927
component_33,0.3270760001701132
component_16,0.32689527526351025
component_34,0.3268769312729016
component_15,0.32558671750676194
component_35,0.32547145614745443
component_37,0.32514619926247823
component_17,0.3244423452504793
component_5,0.32441867073239683
component_10,0.32434159959637654
component_11,0.324086043457699
component_18,0.3236574296078645
component_4,0.3236468518470248
component_6,0.32363489064652917
component_30,0.32349241757439395
component_22,0.32325346864889093
component_2,0.3230364344441202
component_24,0.3230342478062186
component_8,0.3229815015440025
component_25,0.3225704713955312
component_20,0.3224838507155433
component_7,0.32234136870243335
component_3,0.3221807167062485
component_32,0.3213445397622675
component_28,0.32129916708294937
component_29,0.3209570923243329
component_31,0.3207931915488713
component_27,0.32059395528653223
component_14,0.3180410648010741
character_count,0.28949463065420833
day,0.28020813608364614
month,0.28008788685077124
minute,0.267934892367528
hour,0.2676856999495414
year,0.26029769583639806
word_count,0.25568042726017004
second,0.23986972289407715
Dominant_Topic,0.23070150121562416
sentiment,0.22890341855664587
