Feature,MI_Score
component_39,0.17577057614985447
dominant_topic,0.17346718412578732
component_9,0.1721792851826125
component_38,0.17093196271577948
component_40,0.17083934781158017
component_15,0.17063554116978863
component_33,0.17046349866940114
component_21,0.16966040668249938
component_6,0.16959836750435198
component_32,0.16926044998537093
component_23,0.16874559226371577
component_25,0.16842295594417056
component_34,0.1683128226292041
component_3,0.16799786579050346
component_36,0.1679413112661705
component_37,0.16787667773617287
component_20,0.16771312376226155
component_16,0.16724205573407658
component_11,0.1670275990256027
entropy,0.16626827967423274
character_count,0.1662532868743667
component_14,0.16574624985220998
component_27,0.1653815204282194
component_30,0.16518775695472065
component_28,0.16512472060272554
component_29,0.16496782378145758
component_4,0.16462772444199958
component_7,0.16452974562520817
component_12,0.16429437563151983
component_13,0.1641037788820514
component_22,0.164086060470658
component_31,0.16381780496604414
component_5,0.16317417405653512
component_17,0.1618734965912183
component_8,0.1614608570534839
component_19,0.1607130909047798
component_2,0.16004005815798994
component_35,0.1598977494468481
word_count,0.15787435736020305
component_18,0.15730375537620356
component_10,0.15693563892525986
component_24,0.1558311287277434
component_1,0.15470500098761852
component_26,0.15421149539916446
hour,0.14672451913318985
minute,0.1435618889542969
month,0.11828983719333253
day,0.11769439283001715
second,0.10894378537536675
sentiment,0.029344198648040498
