Feature,MI_Score
component_2,0.38768329711986915
word_count,0.38029418957598904
component_4,0.3778340856674579
component_27,0.3772152010159949
component_37,0.37401428727105146
character_count,0.371063197029617
component_10,0.36970332644467896
entropy,0.3682502828497346
component_7,0.3679296589696901
component_15,0.3661742646149867
component_12,0.3659784545586774
component_14,0.36553450806999443
component_28,0.36348206565799424
component_20,0.35833658276054814
component_1,0.35752791817649887
component_6,0.3555732499706902
component_21,0.3553529682243133
component_24,0.3529247545257773
component_39,0.3515614971279214
component_29,0.35086315952037916
component_8,0.350393597054503
dominant_topic,0.3503328025864899
component_16,0.3499882972168411
component_3,0.34935747075444956
component_18,0.3482502723826635
component_25,0.34816949816939124
component_19,0.3479093842486345
component_31,0.34599011958685044
component_38,0.34385959251947273
component_40,0.3432451482602987
component_30,0.342929428485208
component_23,0.342311584831162
component_35,0.34020683666344187
component_33,0.3398064847350357
component_17,0.3388403745728459
component_36,0.3380868416419298
component_34,0.33705422445759736
sentiment,0.3370538446130906
component_26,0.3369010480805936
component_22,0.33551177830941703
component_11,0.3330207777940539
component_13,0.33260223882119044
component_32,0.32837893504500526
component_9,0.32791629262403643
component_5,0.32732061645937494
second,0.28941978385098555
day,0.2729162052926384
hour,0.26379050998170084
minute,0.234192868600416
month,0.19731322539152885
