Feature,MI_Score
character_count,0.2070041331641781
word_count,0.20121212483880346
month,0.19605029692397014
year,0.1952399211346323
Dominant_Topic,0.19407252613477755
day,0.1914266002996723
hour,0.1868180097435883
sentiment,0.18424394047264658
second,0.16875317722693084
minute,0.16646055633303813
component_1,0.15969074658590676
component_2,0.1593542148725582
component_6,0.1548049937777125
component_5,0.1543995892772374
component_40,0.1538273663190488
entropy,0.1537270199794687
component_4,0.15337388118787354
component_3,0.1531258391449295
component_10,0.15267548195576253
component_11,0.15257698870492375
component_7,0.15250682047601605
component_9,0.15237554310552115
component_16,0.15235594343495729
component_15,0.15170492384404555
component_25,0.15151554187363847
component_18,0.151307287143422
component_21,0.1512980073336958
component_37,0.15125326875323775
component_12,0.1512061533092739
component_23,0.15119114640336062
component_33,0.1511148244893381
component_17,0.15110142032203466
component_31,0.15110064982199423
component_28,0.15108714834891757
component_34,0.1510193396301489
component_35,0.15096845433626727
component_19,0.15089889605257856
component_36,0.15088544352447797
component_30,0.15088538343514935
component_20,0.15083391160315363
component_26,0.15073587242316844
component_27,0.15064173260612268
component_8,0.15064055804075505
component_24,0.15063707791435244
component_29,0.1506365935170655
component_14,0.15046830899395158
component_22,0.15040823700339856
component_39,0.15038885520003564
component_38,0.1502398912844034
component_13,0.15017055680333335
component_32,0.14963270046393462
