Feature,MI_Score
component_27,0.355878521175673
component_2,0.3535604860338968
component_15,0.3501921731926503
character_count,0.34966624840433647
component_4,0.34871235917300747
component_10,0.3477199451174551
entropy,0.34619579484253915
word_count,0.3458301869170548
component_8,0.34468340238285977
component_24,0.3444222855136416
component_28,0.3440690564421389
component_7,0.34371229290844996
component_12,0.3435690944790928
component_14,0.3435683737437143
component_36,0.34279286913026574
component_37,0.34150826230130216
component_25,0.33999725818294957
Dominant_Topic,0.3395232037803302
component_30,0.33928765155615204
component_34,0.3387518937486469
component_38,0.3381732371824324
component_32,0.3378918134689639
component_18,0.337413770184237
component_20,0.3370481425104259
component_23,0.33688431449350964
component_29,0.33675227100686556
component_3,0.3359045343965503
component_33,0.3358611492935928
component_16,0.33583878136624423
component_26,0.33513352602486113
component_22,0.3348667420991309
component_1,0.3347576838459363
component_19,0.3345549304593116
component_17,0.33452823690088396
component_39,0.3338232608062619
component_31,0.33344849514450514
component_9,0.33253861675800644
component_6,0.33247456218382343
component_21,0.33208786048869854
component_35,0.33195891481528084
component_40,0.33165120432983874
component_11,0.3314007170136499
component_5,0.3276381546656799
component_13,0.32673409085342997
sentiment,0.3195029308060895
second,0.31000725471396784
day,0.2835551879027691
hour,0.26426150960718386
minute,0.25808236231497794
year,0.24247951547658841
month,0.24007520930876458
