Feature,MI_Score
component_36,0.3555631855524145
component_21,0.35073360319221936
component_13,0.3506098067975273
entropy,0.34947863860159734
component_9,0.3484397550875269
component_5,0.34785713554121767
component_29,0.34692074154028496
component_3,0.3467707898754657
component_26,0.3465545297072067
component_40,0.34610150031045317
component_12,0.3438475644356581
component_23,0.34358256294938405
component_1,0.343164136820453
component_39,0.34293615312704995
component_38,0.34280235175472396
component_6,0.3424707103097744
component_19,0.3415738592472689
component_18,0.34152479328867136
component_15,0.3410405047758812
component_33,0.33995271559447315
component_30,0.33958942591773633
component_16,0.33936897258473653
component_22,0.33936173641380507
component_37,0.3388620309424226
component_20,0.33847787799044793
component_11,0.33832580837523063
component_2,0.33823861142517486
component_34,0.3378014777547771
component_14,0.3369192433397392
component_25,0.33637776254071494
component_4,0.3361260066766799
component_8,0.3359420072359104
component_27,0.3359240234446398
component_28,0.3353034871000661
component_10,0.334893791871571
component_32,0.3346210567824226
character_count,0.3344269048659655
word_count,0.33418818981906184
component_35,0.33368615912912625
component_7,0.3335665176320485
component_24,0.33234212910110184
component_17,0.3322163623124077
component_31,0.3315573044629373
month,0.30757013674548594
day,0.2979225308335629
sentiment,0.284000814993981
hour,0.2813698960063775
minute,0.2632255034673583
Dominant_Topic,0.2540424279126636
second,0.20951570784571105
year,0.1860544885987261
